5;4601
4;7103
4;7105
1;5234
3;8232
4;7114
3;8249
5;4592
4;7049
3;8185
4;7065
4;7104
3;8186
4;7110
3;8206
5;4577
4;7069
5;4575
1;5182
4;7067
1;5201
1;5233
5;4559
1;5213
4;7087
4;7086
4;7083
4;7082
3;8218
3;8221
5;4590
5;4557
4;7050
5;4567
3;8194
4;7047
4;7064
5;4572
4;7101
6;1266
3;8229
3;8228
3;8205
3;8192
5;4558
5;4604
1;5342
1;5299
4;7149
4;7152
3;8267
1;5289
1;5292
1;5287
5;4631
5;4632
5;4633
3;8276
1;5291
4;7122
3;8275
1;5290
1;5288
1;5295
3;8282
3;8266
3;8252
1;5256
4;7121
1;5261
1;5259
4;7131
1;5268
4;7135
3;8264
4;7134
3;8278
1;5293
5;4623
3;8277
3;8271
4;7130
3;8265
5;4621
3;8273
5;4625
1;5282
3;8268
3;8253
3;8263
3;8234
1;5237
4;7111
4;7112
5;4600
5;4603
1;5242
3;8238
1;5246
5;4602
3;8256
4;7133
5;4620
3;8274
1;5294
5;4622
3;8270
4;7140
3;8279
3;8281
4;7144
3;8286
3;8287
5;4629
4;7146
5;4635
5;4638
5;4639
5;4640
5;4643
3;8280
1;5310
5;4644
4;7160
5;4642
4;7161
3;8322
4;7171
3;8355
4;7198
1;5346
1;5345
5;4677
3;8349
5;4676
3;8342
1;5336
1;5334
5;4669
3;8340
1;5337
4;7190
1;5329
4;7187
4;7178
4;7177
1;5330
3;8327
3;8324
3;8323
3;8326
3;8325
3;8320
4;7137
4;7136
1;5281
3;8269
4;7076
1;5216
1;5208
1;5205
4;7073
1;5204
5;4568
1;5203
1;5192
4;7057
3;8187
4;7061
4;7089
4;7051
3;8215
4;7041
1;5185
1;5228
4;7100
3;8227
5;4595
1;5229
4;7075
3;8243
3;8240
3;8241
1;5245
3;8251
3;8244
4;7116
4;7115
1;5241
5;4607
5;4606
1;5251
1;5243
1;5255
5;4609
1;5343
5;4673
5;4672
3;8345
5;4671
1;5335
3;8313
4;7173
4;7175
1;5321
1;5320
3;8319
3;8311
1;5348
1;5347
3;8353
4;7197
4;7194
3;8352
5;4678
3;8351
3;8350
3;8348
3;8347
1;5331
5;4670
5;4662
3;8334
3;8333
5;4661
4;7183
4;7185
4;7184
1;5328
3;8330
4;7180
1;5327
3;8304
3;8288
4;7155
4;7156
3;8289
3;8298
3;8292
4;7158
3;8294
5;4658
4;7107
1;5239
1;5235
5;4597
1;5236
3;8226
6;1265
4;7071
4;7092
4;7090
4;7095
4;7094
4;7096
3;8222
4;7046
4;7045
4;7055
4;7056
1;5194
3;8199
5;4576
4;7077
3;8210
1;5217
4;7081
5;4581
1;5226
5;4582
1;5232
4;7109
1;5238
4;4596
5;4599
3;8246
3;8242
1;5248
1;5249
3;8239
1;5250
1;5257
3;8203
3;8211
4;7079
4;7070
4;7118
1;5247
4;7119
4;7119
4;7182
3;8336
4;7120
4;7139
5;4594
4;7174
5;4650
4;7170
3;8317
1;5309
4;7163
3;8293
3;8299
3;8314
4;7169
3;8301
4;7164
1;5312
1;5199
3;8196
3;8231
3;8230
4;7102
1;5230
3;8220
4;7106
5;4564
1;5195
3;8193
1;5223
1;5224
3;8219
3;8224
4;7093
1;5227
3;8217
4;7098
1;5225
4;7097
3;8223
3;8180
1;5178
4;7048
3;8190
5;4569
4;7058
1;5188
4;7059
1;5193
4;7060
3;8198
5;4570
5;4571
1;5207
4;7068
4;7072
5;4578
1;5209
3;8316
3;8315
5;4655
1;5314
4;7166
3;8307
3;8305
5;4652
4;7167
5;4647
3;8290
4;7162
5;4636
5;4634
1;5296
4;7148
4;7147
5;4630
1;5298
4;7153
4;7141
4;7145
3;8341
4;7193
3;8343
3;8329
4;7179
1;5279
1;5280
1;5265
1;5274
1;5276
1;5278
1;5273
3;8260
5;4617
1;5266
5;4612
4;7123
1;5271
4;7127
1;5262
1;5277
1;5269
5;4618
1;5301
1;5305
5;4593
5;4563
3;8201
3;8284
4;7143
5;4608
1;5253
1;5252
3;8247
4;7088
3;8332
1;5344
5;4675
4;7186
5;4663
1;5311
1;5308
5;4651
3;8295
3;8303
3;8297
5;4637
1;5303
1;5304
4;7165
4;7172
5;4674
1;5341
3;8346
1;5339
1;5338
3;8344
3;8339
3;8338
5;4667
5;4668
3;8337
1;5333
5;4664
5;4660
1;5326
3;8328
1;5324
1;5323
3;8321
1;5325
5;4657
4;7188
4;7189
4;7176
3;8250
5;4616
5;4615
1;5210
3;8204
1;5212
3;8208
1;5211
3;8209
1;5231
3;8212
1;5214
1;5215
3;8202
4;7066
4;7113
1;5244
5;4645
5;4648
1;5307
1;5306
4;7159
3;8296
3;8302
3;8306
5;4653
3;8300
3;8308
5;4654
3;8309
1;5316
1;5318
1;5319
3;8318
1;5315
1;5317
5;4646
5;4613
1;5267
3;8233
3;8235
1;5263
1;5264
5;4614
5;4610
5;4611
3;8258
5;4619
3;8272
4;7128
4;7129
3;8262
1;5275
4;7132
3;8259
3;8257
