1549,"20070108 09:59 AM EST","UPDATE 1-RESEARCH ALERT-UBS upgrades IBM to buy from neutral",
2074,"20070110 10:20 AM EST","UPDATE 1-RESEARCH ALERT-AG Edwards downgrades IBM",-1
2421,"20070116 11:48 AM EST","U.S. top court won't review IBM pension bias case",-1
2431,"20070118 04:36 PM EST","US STOCKS-Techs tumble on Apple, chipmakers; IBM off late",
2541,"20070118 04:43 PM EST","IBM CFO sees",
2813,"20070118 05:02 PM EST","UPDATE 1-After the Bell - IBM shares drop",-1
2988,"20070118 05:05 PM EST","IBM shares drop",-1
4035,"20070118 05:34 PM EST","IBM profit rises 11 pct but shares drop",
9767,"20070118 05:35 PM EST","IBM profit rises 11 percent but shares drop",
9963,"20070118 06:01 PM EST","US STOCKS-Techs drop on Apple, chip makers; IBM slips",-1
10211,"20070118 06:05 PM EST","US STOCKS-Techs drop on Apple, chip makers; IBM slips",-1
10222,"20070118 08:17 PM EST","UPDATE 4-IBM profit rises 11 pct but shares drop",
10544,"20070119 01:18 PM EST","UPDATE 1-RESEARCH ALERT-Citigroup raises IBM price target",
13781,"20070119 01:41 PM EST","IBM casts blue shadow over Dow",
13782,"20070119 01:55 PM EST","US STOCKS-Indexes flat, Alcoa's gains offset IBM",
13897,"20070119 03:12 PM EST","US STOCKS-Oil rebound keeps S&P up; IBM hurts Dow",-1
13900,"20070119 04:40 PM EST","US STOCKS-S&P and Nasdaq helped by oil, semis; IBM hurts Dow",-1
13965,"20070119 06:02 AM EST","IBM edges above opening range high at 95.68-- session high 95.79",
14026,"20070119 07:10 AM EST","US STOCKS-Futures slip as IBM extends tech sell-off",
14266,"20070119 08:01 AM EST","US STOCKS-Futures dip as IBM pressures tech, GE slumps",
15408,"20070119 08:25 AM EST","IBM profit rises 11 pct but shares drop",
15415,"20070119 09:03 AM EST","US STOCKS-Wall St. seen lower after IBM, GE disappoint",-1
15878,"20070119 09:37 AM EST","US STOCKS-Blue chips, Nasdaq down; IBM disappoints",-1
19399,"20070119 09:52 AM EST","US STOCKS-Indexes flat as oil rebounds; IBM, GE fall",-1
20763,"20070119 10:52 AM EST","US STOCKS-Shares flat as IBM, GE fall, sentiment gains",-1
21157,"20070119 11:06 AM EST","RPT-US STOCKS-Shares flat as IBM, GE fall, sentiment gains",-1
22334,"20070119 12:08 AM EST","IBM profit rises 11 percent but shares drop",
22360,"20070119 12:23 PM EST","IBM shares fall after quarterly results",-1
22426,"20070119 12:41 PM EST","US STOCKS-Blue chips slip with IBM, energy rebounds",-1
22632,"20070122 10:31 AM EST","Platform Solution countersues IBM in patent spat",-1
22739,"20070122 11:38 AM EST","IBM renews Microsoft rivalry with new Web software",1
22870,"20070123 09:59 AM EST","Tech Update: IBM gets more social",
23004,"20070124 02:15 AM EST","Yara says outsources IT services to IBM",1
