1549,"Rocket Software to Exhibit and Present at IBM Insight2015",0
2074,"IBM Launches Data Exchange to Empower Marketers to Engage Customers in the Moment",1
2421,"Spare5 Joins The IBM Watson Ecosystem",1
2431,"Swiss Re to work with IBM Watson to harness the power of Big Data for Reinsurance",1
2541,"Datawatch to Showcase Innovative Self-Service Data Preparation Solutions at IBM Insight",0
2813,"KwikWork Legal from enChoice Leverages IBM Enterprise Content Management Investments to Improve Legal Department Collaboration & Productivity",1
2988,"Motio Releases Theia. IBM Cognos BI Users are Presented with an Evolutionary User Experience",1
4035,"IBM, UK STFC Hartree Centre, NVIDIA and Mellanox Launch High Performance Computing POWER Acceleration and Design Center for Business",1
9767,"DBI Software Announces pureFeat(TM) V6.2 Performance Management Suite for IBM DB2 LUW",0
9963,"MediaMath Joins IBM Universal Behavior Exchange",1
10211,"Rocket Fuel Brings Programmatic Marketing Platform to IBM Universal Behavior Exchange",1
10222,"Vibes Brings Mobile Marketing and Mobile Wallet Capabilities to IBM’s Universal Behavior Exchange",1
10544,"Wipro Taps IBM Bluemix to Speed Development of Mobile, Analytics Apps",1
13781,"IBM blows past forecasts, services contracts rise",1
13782,"UPDATE 5-IBM blows past forecasts, services contracts rise",1
13897,"IBM results blow past expectations, services strong",1
13900,"UPDATE 4-IBM results blow past expectations, services strong",1
13965,"Instant view: Apple sales surge, IBM beats Street",1
14026,"Instant view: Apple, IBM results beat Street",1
14266,"IBM Reports 2010 Fourth-Quarter and Full-Year Results",0
15408,"M-Dot Network's Digital Coupon Technology Is Now Available on Retalix's StoreLine, Joining StoreNext's ISS45 and IBM",0
15415,"M-Dot Network's Digital Coupon Technology Is Now Available on Retalix's StoreLine, Joining StoreNext's ISS45 and IBM",0
15878,"SOA Software Achieves IBM Advanced Partner Status",0
19399,"American Marketing Association Elects IBM Senior Marketing Executive to its Board of Directors",0
20763,"Total Resource Management Launches TRM RulesManager Studio™, a configuration, control and application delivery software designed for IBM Maximo®",0
21157,"Acacia Subsidiary Enters into License Agreement with IBM",1
22334,"US STOCKS-Profits boost Wall Street, led by IBM, Juniper",1
22360,"IBM at 5-year high after results beat forecasts",1
22426,"US STOCKS-Profits push indexes up, led by IBM and Juniper",1
22632,"US STOCKS-Strong earnings power rebound; IBM gains",1
22739,"US STOCKS-Futures rise on earnings; IBM, Honeywell up",1
22870,"US STOCKS-Futures rise as profits top estimates; IBM up",1
23004,"US STOCKS-Futures rise before wave of earnings; IBM gains",1
23068,"IBM net jumps 12 pct as revenue gains on software",1
23713,"Warren Buffett says more likely to buy IBM shares than sell: CNBC",1
25730,"Rosetta Leverages IBM Business Partner Programs, Publicis Network to Drive Global Commerce Innovation",1
29133,"UPDATE 2-Warren Buffett says he sold a third of stake in IBM -CNBC",-1
29146,"CORRECTED-UPDATE 1-Warren Buffett says he sold a third of stake in IBM -CNBC",-1
29156,"CORRECTED-Warren Buffett says he sold a third of stake in IBM - CNBC",-1
29185,"BRIEF-Warren Buffett says he sold a third of his IBM stake in Q1, Q2 2017- CNBC",-1
31690,"IBM Is the Leader in Worldwide Server Revenue for Q307 According to Leading Industry Analyst Firm",1
31901,"Carestream Health Selects IBM Unified Communications Software for Immediate Collaboration on Urgent Patient Cases",1
32540,"BIBM Preferents Ltd - Stmt re Integration Process",0
32618,"IBM to Deploy Unified Communications Solutions for IDEA Cellular",1
33619,"Axceler Expands Product Portfolio to Provide New Monitoring Software for IBM Lotus...",0
35031,"IBM shares may be cheap - Barron's",1
44828,"Zobrist Consulting Wins IBM Leadership Award for",0
46597,"IBM Signs Agreement With Whirlpool Corporation",1
47810,"IBM Urges Communication Providers to Embrace Social Networking",0
48410,"FACTBOX-AmEx, Microsoft, IBM propel Dow to 2009 gain",1
49345,"REG-IBM: Doc re Form 10-Q",
51712,"Fluor Awarded IBM Facility Management Contract",0
53984,"MOSAID and IBM Sign Patent License Agreement, Resolve Patent Litigation Suit",1
55992,"Delhi International Airport Partners with IBM to Create a Smarter Air Terminal",1
60243,"intiGrow Sponsors IBM Pulse 2012 in Las Vegas March 3 - March 7",1
60347,"Compuware Announces APM Industry's Broadest Support for IBM WebSphere Environments With dynaTrace 4.1",0
60348,"Compuware Announces APM Industry's Broadest Support for IBM WebSphere Environments With dynaTrace 4.1",0
65451,"Technological Developments, Acquisitions, Capacity Expansions, and Quarterly Results Announcements - Research Report on IBM, Accenture, Xerox, ServiceNow, and FIS",
66354,"IBM launches enterprise-ready blockchain service",1
67535,"IBM launches enterprise-ready blockchain service",1
67538,"BRIEF-IBM, SecureKey to deliver blockchain-based digital identity network for consumers",1
67540,"IBM launches enterprise-ready blockchain service",1
67992,"IBM talks with Globalfoundries break down over price: Bloomberg",
68004,"IBM talks with Globalfoundries break down over price -Bloomberg",
68033,"Dell, BlackBerry downplay threat from Apple-IBM alliance",0
68053,"Dell, BlackBerry downplay threat from Apple-IBM alliance",0
68873,"IDC MarketScape Names IBM a Leader in Worldwide Managed Security Services",1
68881,"Healthcare Sciences Publisher PLM and IBM Speed Access to Medical Information to Deliver Better Patient Care with Mobile",1
69160,"Research and Markets: IT Market in Qatar 2014-2018: Key Vendors are Hewlett-Packard, IBM, Microsoft and Oracle",1
71989,"The Zacks Analyst Blog Highlights: Apple, Microsoft, IBM, Google and eBay",1
73208,"BRIEF-Zhangjiagang Furui Special Equipment's unit sets up centre with IBM",1
73592,"IBM and PRO BTP Use Analytics to Fight Healthcare Insurance Fraud and Abuse",1
76086,"Silver Sponsor and Participant, Trianz Seeks to Augment Integrated Service Management Solutions at the IBM Pulse 2011",0
76698,"Zobrist Consulting Wins 2011 IBM Beacon Award for Best Industry Solution for Retail",0
78188,"Cincom Systems Wins 2011 IBM Beacon Award for Best Industry Solution for Banking",0
78371,"MarketShare Accelerates Global Expansion with Seasoned Executives from IBM and Yahoo! Japan",
78627,"Indra's DaVinci System Receives IBM Beacon Award for the Best Industry Solution in Travel and Transportation",
79020,"UNC Health Care and IBM Announce Nation's Latest Major Health Information Exchange",1
79342,"Agilysys Wins 2011 Beacon Awards for Outstanding IBM Power Systems Solution and Outstanding Virtualization and Consolidation Solutions",
79453,"edge IPK Selected to Join IBM`s Insurance Industry Framework",1
82582,"Fluor Secures IBM Facilities Management Contract",
82837,"IBM responds to Oracle's Exadata with new systems",1
84782,"IBM wins 5-year Finnish Alko IT outsourcing deal",1
86358,"KAUST's IBM Supercomputer is Middle East's Fastest and Most Powerful System",1
87610,"Zend Solution Included in IBM Smart Business",1
87764,"/C O R R E C T I O N -- IBM/",
88146,"Made in IBM Labs: Secure, 3D Meeting Service Now Available with Lotus Sametime",1
88173,"Video: IBM Offers Smarter City Assessment Tool to Help Cities Prepare for Challenges...",1
89004,"IBM names new M&A chief after losing chief to Dell",
89327,"Less Than 20% of Consumers Trust Food They Buy Is Safe and Healthy, IBM Survey Reveals",
90169,"Nuance and IBM Collaborate on Breakthrough Clinical Language Understanding Capabilities for Healthcare",1
92290,"Protegrity Selected as Sole Validated Enterprise Data Security Solution Within IBM Retail Industry Framework",0
92558,"ApacheCon Announces Keynote Presentations by Thought Leaders Dana Blankenhorn of ZDNet, Daniel Crichton of NASA Jet Propulsion Laboratory, and Bob Sutor of IBM Corporation",0
92577,"IBM Completes Acquisition of Unica Corporation",1
92590,"IBM Collaborates on New Wind Energy Technologies",1
96347,"Computing could save us from death by data: IBM exec",
97351,"IBM buys data-integration vendor Cast Iron",1
97874,"Hubspan Awarded",
97911,"Perficient Wins IBM`s Smarter Decision Management Award at Impact 2010",
98161,"IBM buys cloud computing software firm Cast Iron",1
98164,"UPDATE 3-IBM buys cloud computing software firm Cast Iron",1
99242,"Prolifics Wins IBM'S 2010 Outstanding Business Process Management Solution Award",
99306,"Dr. Kristof Kloeckner of IBM to Deliver Partner Keynote at 2010 Red Hat Summit",
99442,"BrightStar Partners/BSP Software Releases Integrated Control Suite 2.0, Delivering the Only Governance, Risk and Compliance Solution Designed to Lower IBM Cognos Customers` Total Cost of Ownership",
103811,"The Zacks Analyst Blog Highlights: BMC Software, IBM, Hewlett-Packard Company, EMC Corp. and CA Inc.",
104127,"Salesforce picks up IBM enterprise sales veteran Jeff Lautenbach",
110371,"EU accepts IBM antitrust concessions, ends probe",1
110377,"UPDATE 1-EU accepts IBM antitrust concessions, ends probe",1
110593,"EU accepts IBM antitrust concessions, ends probe",1
115068,"Knight hires IBM to review August trading glitch",1
115464,"Knight hires IBM as consultant to look into trading glitch",1
115953,"IBM Cloud Streamlines Global Engineering Projects for Toyota Boshoku",1
119478,"In patent showdown, IBM's arsenal dwarfs Twitter's",1
119540,"In patent showdown, IBM's arsenal dwarfs Twitter's",1
120007,"Memorial Healthcare System Taps IBM to Prevent Vendor Fraud, Reduce Operating Costs",1
120050,"IBM Big Data and Analytics Translates into Big Hotel Room Bookings for Denihan Hospitality Group",1
120163,"IBM Expands Big Data Portfolio with New Predictive Intelligence Software",1
121489,"Polycom to Demonstrate Video Collaboration Solutions at IBM Information On Demand 2013, Booth #514G",
121682,"IGC Updates Brava! for IBM Content Navigator",
121716,"Talend Platform for Big Data Certified on IBM InfoSphere BigInsights and IBM PureData System for Hadoop",
124467,"Bank of Beirut (UK) Ltd Expands Data Recovery Provisions With IBM",1
124610,"IBM Helps Clients Create Smarter Procurement Processes",1
125276,"IBM to Join Forces with Non-Profit to Help Returning Vets from Iraq & Afghanistan...",1
126122,"IBM boosts Juniper pact, plays down Cisco rivalry",1
126140,"Juniper Networks and IBM Expand Relationship With OEM Agreement to Advance the Economics of Networking",1
126148,"IBM Announces Agreements with Leading Network Companies to Support Increasingly Interconnected...",1
126155,"IBM boosts Juniper pact, plays down Cisco rivalry",1
127808,"SHAREHOLDER ALERT: Pomerantz Law Firm Announces the Filing of a Class Action Against International Business Machines Corporation and Certain Officers -- IBM",-1
129094,"Mobileum Integrates CEM Solutions with IBM Now Factory",
129646,"IBM Acquires AlchemyAPI, Enhancing Watson's Deep Learning Capabilities",1
129689,"IBM buys AlchemyAPI to boost Watson computing unit",1
129712,"IBM buys AlchemyAPI to boost Watson computing unit",1
130115,"Research and Markets: IBM and Apple Partnership - Sparking a Revolution in the Enterprise App Market",1
133621,"BRIEF-IBM plans to collaborate with 8 universities to expand security data",1
136904,"UPDATE 2-IBM to cut 5,000 jobs in U.S. - sources",-1
136940,"IBM to cut 5,000 jobs in U.S.",-1
137162,"CORRECTED - UPDATE 1-IBM to cut 5,000 jobs in U.S. - sources",-1
137208,"Intel's Otellini: IBM likely to buy bargain Sun",1
137216,"Intel's Otellini: IBM likely to buy bargain Sun",1
137436,"IBM to cut 5,000 jobs in U.S.--sources",-1
137440,"IBM to cut 5,000 jobs in U.S.--sources",-1
137891,"Devon IT, IBM and VMware to Host",
